Kund;Jobb namn;Konfig;Lager;Berarbetning;Material;Antal;Fil URL;Material;Beskrivning;SW Config;Finnish
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Björk 2500 x 1250;1;C:\_PDM\Product data\Linjett 36\12507.SLDPRT;Björk 2500 x 1250;Byggfris;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Björk 2500 x 1250;2;C:\_PDM\Standardkomponenter\12907.SLDPRT;Björk 2500 x 1250;Södram luckor durkar 400x250 hål;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Björk 2500 x 1250;1;C:\_PDM\Product data\Linjett 36\12319.SLDPRT;Björk 2500 x 1250;Toppskiva steg förpik;Default;A C
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Björk 2500 x 1250;1;C:\_PDM\Product data\Linjett 36\12645.SLDPRT;Björk 2500 x 1250;Lutande durk B-hytt;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Björk 2500 x 1250;1;C:\_PDM\Product data\Linjett 36\12775.SLDPRT;Björk 2500 x 1250;Durkar;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra corian;Rosättra Corian;Corian 3360x760;1;C:\_PDM\Product data\Linjett 36\12711.SLDPRT;Corian 3360x760;Corian bänkskiva toa;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra corian;Rosättra Corian;Corian 3360x760;1;C:\_PDM\Product data\Linjett 36\12927.SLDPRT;Corian 3360x760;Ämne till Corianbänk kyl/diskho 12277;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra corian;Rosättra Corian;Corian 3360x760;1;C:\_PDM\Product data\Linjett 36\12928.SLDPRT;Corian 3360x760;Ämne till corian bakom spis12280;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra corian;Rosättra Corian;Corian 3360x760;1;C:\_PDM\Product data\Linjett 36\12929.SLDPRT;Corian 3360x760;Ämne till corianköksbänk aktre över lådor 12279;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra corian;Rosättra Corian;Corian 3360x760;1;C:\_PDM\Product data\Linjett 36\12291.SLDPRT;Corian 3360x760;Kyllock stora;Default;
L36;L36 - Alla Skott;Rosättra nesting;Rosättra nesting;Rosättra nesting;Gabon 3050 x 1530;2;C:\_PDM\Product data\Linjett 36\12247.SLDPRT;Gabon 3050 x 1530;Akter sida spisbalja;Default;
