Material,QTY.,SW-Folder Name(Folder Name),PART NUMBER,DESCRIPTION,SW-Configuration Name(Configuration Name),Finish
Björk,1,C:\_PDM\Product data\Linjett 36\,12507,Byggfris,Default,
Björk,2,C:\_PDM\Standardkomponenter\,12907,Södram luckor durkar 400x250 hål,Default,
Björk,1,C:\_PDM\Product data\Linjett 36\,12319,Toppskiva steg förpik,Default,A C
Björk,1,C:\_PDM\Product data\Linjett 36\,12645,Lutande durk B-hytt,Default,
Björk,1,C:\_PDM\Product data\Linjett 36\,12775,Durkar,Default,
Corian,1,C:\_PDM\Product data\Linjett 36\,12711,Corian bänkskiva toa,Default,
Corian,1,C:\_PDM\Product data\Linjett 36\,12927,Ämne till Corianbänk kyl/diskho 12277,Default,
Corian,1,C:\_PDM\Product data\Linjett 36\,12928,Ämne till corian bakom spis12280,Default,
Corian,1,C:\_PDM\Product data\Linjett 36\,12929,Ämne till corianköksbänk aktre över lådor 12279,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12247,Akter sida spisbalja,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12271,List kojbotten salong BB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12272,Främre kojbotten salong BB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12273,Aktre kojbotten salong BB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12274,Kojrygg salong BB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12276,inre skåp skott övre pentry,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12285,Botten övre pentryskåp,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12289,Hyllplan pentry under diskho,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12290,Top pentry diskho bygg skiva,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12293,Botten pentry spis lådor,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12294,Baksida pentry dragluckor,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12295,Botten pentry dragluckor,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12297,Aktre hyllplan överskåp pentry,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12321,Lådsidor under steg förpik,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12326,Underdel mitten ram dynor förpik,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12361,Innerskott överskåp salong,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12362,Övre hyllplan överskåp salong,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12364,Undre hyllplan överskåp salong,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12365,Lådsidor hurts förpik,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12366,botten låda under steg förpik,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12385,Tvärskott förpik under koj,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12386,Kojbotten förpik BB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12389,Främre kojbotten salong SB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12408,Underdel mitten ram förlängning BB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12409,Underdel mitten ram förlängning SB,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12410,Underdel ram dynor förpik mot skrov,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12411,Underdel ram dynor förpik främre,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12413,Botten under koj förpik,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12440,List kojbotten salong SB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12441,Aktre kojbotten salong SB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12443,Kojrygg salong SB,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12445,Botten SB salong,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12454,Främre botten navbord ,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12455,Baksida navbord låda,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12479,Aktre skott låda drev,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12498,Förlängning över motorhuv baksida,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12502,Akre sida låda salong under,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12503,Baksida låda salong under,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12506,Motorlucka nedgång baksida,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12509,Byggdurkar,Default,
Gabon,2,C:\_PDM\Product data\Linjett 36\,12528,Låda hytt sidor,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12529,Låda hytt baksida,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12530,Låda hytt botten,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12531,Låda hytt top,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12534,Kojbotten underlag hytt,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12617,Aktre botten navbord ,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12618,Främre sida låda salong under,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12619,Botten pentry lådor,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12629,Akter botten övre akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12630,Främre botten övre akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12631,Botten nedre akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12632,Tvärgående skott akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12633,Skott mott akterstuv C-Hytt,Default,A E
Gabon,1,C:\_PDM\Product data\Linjett 36\,12634,Skott mot septic-tank akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12635,Aktre skott mot skrov akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12636,Botten över septic akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12637,Gavel septictank akterstuv,Default,
Gabon,1,C:\_PDM\Product data\Linjett 36\,12638,Lucka till 12635 akterstuv,Default,
